nameseq,A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,label
URS000000046A/uncultured,9,16,15,16,18,13,19,17,20,31,32,17,15,21,21,11,16,13,16,10,17,12,22,13,16,30,42,18,14,8,34,17,33,17,39,21,14,24,34,28,36,29,50,34,25,12,48,20,18,19,19,13,17,19,18,14,17,20,39,33,5,15,16,5,rRNA
URS000000046E/uncultured,13,20,13,10,13,14,15,13,15,14,20,15,19,9,21,7,12,8,11,6,11,8,8,5,10,20,16,15,11,2,14,6,29,13,23,18,9,8,16,10,21,9,25,20,21,6,14,7,15,11,19,10,8,9,10,7,15,8,17,8,9,4,7,6,rRNA
URS0000000471/uncultured,5,11,4,7,12,8,6,7,10,9,15,7,13,5,9,3,4,8,8,5,6,6,9,4,8,10,16,5,6,5,5,8,15,9,9,8,11,10,9,7,10,8,13,9,5,4,9,5,10,9,7,11,5,5,6,4,4,7,7,2,6,1,9,4,rRNA
URS0000000472/uncultured,7,8,4,3,5,6,9,7,5,4,12,10,2,9,5,5,4,8,7,3,9,2,8,10,3,10,9,9,4,7,13,7,7,7,6,10,9,7,9,7,13,11,7,5,9,6,15,2,6,6,9,5,10,8,4,4,5,8,12,7,2,6,2,2,rRNA
URS0000000475/uncultured,1,0,0,1,0,0,1,1,2,1,5,2,1,3,1,1,2,1,3,0,2,2,4,0,1,3,2,2,0,2,1,0,1,3,3,1,4,2,0,3,3,2,1,0,0,1,2,0,2,2,1,0,1,2,1,1,0,1,1,1,1,0,1,1,rRNA
URS000000047C/uncultured,19,27,22,14,28,19,22,15,25,33,31,27,25,16,25,11,22,18,23,12,19,11,17,16,25,24,21,19,15,7,28,15,44,18,40,19,14,18,30,21,35,18,42,25,24,14,32,21,25,20,21,14,11,22,20,10,18,20,32,20,9,8,9,8,rRNA
URS000000047D/uncultured,4,6,7,8,7,6,9,4,7,11,9,4,7,5,8,2,5,3,4,2,3,4,4,4,9,8,14,6,5,1,10,3,16,11,11,8,6,4,6,5,9,9,10,10,7,2,8,4,7,6,3,3,4,6,9,4,4,3,7,5,4,0,6,1,rRNA
URS0000000480/uncultured,1,0,1,1,2,1,3,1,2,2,3,3,1,1,3,0,2,1,1,1,0,2,1,1,1,1,0,4,3,2,2,0,2,1,3,1,3,1,0,1,1,1,2,1,3,1,1,2,1,3,3,2,0,3,0,2,1,0,2,2,1,0,1,0,rRNA
URS0000000484/uncultured,10,23,21,16,21,24,22,15,23,26,24,16,18,22,22,15,15,16,22,10,22,14,24,10,21,27,29,24,14,9,24,16,39,11,25,27,20,18,25,19,30,23,42,25,25,20,31,21,19,21,27,14,7,20,24,13,24,17,32,19,8,7,8,7,rRNA
URS0000000486/uncultured,7,11,3,3,6,9,9,8,6,8,14,7,9,3,7,2,5,4,7,5,5,6,7,8,12,14,12,3,4,3,9,3,14,11,12,7,7,9,10,7,17,4,21,7,6,6,8,4,2,5,12,4,5,4,5,2,3,8,10,4,4,2,4,3,rRNA
URS0000000489/Citrobacter,21,26,23,11,16,17,28,28,26,26,29,30,19,26,25,7,15,21,29,12,27,15,20,14,23,28,35,18,17,16,26,18,37,19,49,24,19,24,29,24,39,28,48,26,25,14,35,16,25,20,14,13,19,23,17,12,24,24,33,20,7,6,17,8,rRNA
URS0000000490/uncultured,4,12,9,6,10,9,11,9,12,17,13,8,8,8,11,5,9,9,12,6,8,8,8,7,12,17,20,13,8,3,7,5,16,9,25,6,10,12,21,12,20,13,23,9,12,9,14,6,9,3,12,4,6,8,9,4,5,9,17,9,2,6,5,3,rRNA
URS0000000495/uncultured,11,29,14,13,19,13,29,19,21,29,31,20,14,16,17,9,14,22,17,5,18,12,22,16,20,32,43,21,17,9,31,14,37,19,36,19,12,27,37,24,41,27,47,35,21,17,36,17,19,13,22,13,22,20,18,6,12,15,34,24,5,14,18,8,rRNA
URS0000000496/uncultured,4,9,12,8,9,5,6,6,9,11,12,7,9,6,9,4,5,8,6,4,6,5,3,6,5,9,10,7,6,4,5,5,11,4,10,12,4,6,14,7,20,6,12,11,12,5,14,6,10,4,11,7,2,5,7,4,6,6,16,7,7,1,7,8,rRNA
URS000000049A/uncultured,24,31,20,12,25,16,28,15,35,26,28,27,19,20,31,13,21,28,22,11,31,13,20,9,18,30,26,20,11,14,23,14,47,23,41,18,18,22,28,22,34,17,43,21,19,11,33,16,21,19,21,11,15,17,14,18,25,17,28,18,7,8,7,13,rRNA
URS000000049E/uncultured,8,19,13,10,12,9,17,11,14,15,18,16,15,17,13,12,13,13,11,8,15,11,14,13,15,21,18,12,7,12,17,7,26,14,25,15,17,11,17,14,21,13,27,11,11,6,17,11,12,10,14,8,13,19,8,7,13,10,15,16,7,8,11,3,rRNA
URS000000049F/uncultured,0,4,7,2,7,3,4,6,6,8,11,2,7,3,4,4,4,2,6,5,3,3,3,1,6,4,3,0,7,2,4,3,12,4,5,7,3,4,3,3,5,3,8,8,5,2,4,4,4,4,6,6,5,4,3,1,1,6,5,5,2,0,5,2,rRNA
URS00000004A1/uncultured,3,8,8,6,10,7,7,7,14,13,17,4,9,4,9,0,7,9,7,3,8,5,10,4,9,5,16,9,8,7,8,2,11,9,10,14,5,11,15,7,16,5,15,11,8,8,9,7,7,8,10,5,5,6,5,6,3,10,9,5,2,3,6,7,rRNA
URS00000004A8/uncultured,19,28,24,18,21,23,25,25,21,34,32,24,29,21,27,16,21,14,21,18,17,12,21,12,26,22,23,18,21,9,25,17,40,22,41,25,20,15,27,22,42,19,37,30,27,13,31,13,28,20,30,18,16,19,12,10,24,18,34,20,15,9,14,11,rRNA
URS00000004AB/uncultured,7,17,11,20,14,9,15,7,16,15,20,15,13,11,19,8,8,6,9,5,11,6,10,8,19,17,16,12,11,7,15,11,29,15,23,11,7,8,22,15,25,8,30,15,17,10,18,12,10,15,20,11,9,9,9,12,15,12,17,12,7,6,9,7,rRNA
URS00000004AC/uncultured,7,14,8,4,10,7,9,4,8,6,10,15,4,8,6,4,4,6,8,3,8,1,10,4,6,11,13,11,5,6,10,4,13,5,13,10,7,8,10,10,13,12,13,4,7,4,15,6,10,4,7,8,8,6,5,4,8,8,6,5,6,5,6,2,rRNA
URS00000004AD/uncultured,17,21,18,16,22,23,24,18,23,25,28,24,19,18,29,9,21,18,18,7,19,10,19,9,17,27,30,21,15,12,23,13,43,16,42,21,16,18,23,23,39,22,43,26,22,11,31,12,18,23,22,12,13,16,16,11,22,12,31,18,8,7,11,10,rRNA
URS00000004B0/uncultured,1,1,0,2,1,2,1,3,5,3,6,2,2,0,3,4,2,3,0,1,2,2,1,1,2,3,1,1,2,1,3,1,6,2,3,4,1,0,4,1,2,3,3,1,3,1,1,3,5,3,3,0,0,0,4,3,1,1,3,1,1,2,1,5,rRNA
URS00000004B3/uncultured,1,3,3,7,2,2,5,2,5,6,4,6,8,2,11,2,5,2,1,4,2,0,2,2,2,1,3,4,3,1,4,1,9,5,8,4,3,0,3,2,6,1,5,3,4,1,5,5,4,4,5,3,1,4,1,5,10,3,4,2,3,0,1,1,rRNA
URS00000004B6/uncultured,12,18,20,8,16,18,22,11,19,26,37,14,10,14,17,6,17,15,18,6,19,14,16,18,16,29,40,17,11,9,26,6,30,12,40,15,19,29,34,17,40,33,47,26,16,7,28,14,14,13,20,10,8,14,14,7,14,17,20,13,6,8,10,6,rRNA
URS00000004B8/uncultured,17,24,23,17,22,18,24,16,31,40,32,23,15,18,22,9,19,14,25,8,24,17,22,11,23,31,34,19,13,18,32,13,42,23,39,29,21,25,33,25,42,28,49,24,12,15,42,9,24,13,17,16,21,16,17,12,18,16,29,18,6,8,17,8,rRNA
URS00000004BE/uncultured,22,31,27,23,21,18,18,19,32,24,33,28,26,22,35,18,19,17,17,10,25,9,13,9,21,25,28,23,19,11,20,11,53,21,42,24,15,12,29,21,35,17,33,25,26,12,27,20,29,17,27,17,14,17,19,18,24,14,26,24,14,11,18,12,rRNA
URS00000004C2/uncultured,19,29,22,14,28,28,22,21,24,29,30,27,24,25,28,18,20,16,26,14,22,13,21,15,23,27,37,20,21,14,30,21,43,24,39,22,20,23,30,26,43,24,52,29,23,13,44,21,29,24,26,22,16,18,20,17,23,24,35,28,10,10,13,5,rRNA
URS00000004C6/uncultured,19,20,24,17,12,14,12,15,25,12,23,15,22,10,27,14,11,9,12,11,12,7,8,7,15,14,14,14,12,2,15,15,29,12,24,20,11,9,10,10,20,13,24,17,25,12,14,17,20,16,19,18,9,11,16,15,22,13,13,11,17,5,10,14,rRNA
URS00000004C7/uncultured,4,8,6,3,8,4,8,7,6,11,13,5,2,4,6,1,6,7,6,5,8,5,12,5,6,11,11,4,2,5,8,3,12,7,9,5,5,8,14,7,15,9,15,8,7,6,9,2,2,7,7,1,4,4,5,1,4,8,6,5,4,0,3,1,rRNA
URS00000004C8/uncultured,13,23,27,20,21,20,23,19,36,30,34,33,18,31,26,15,23,19,24,12,28,13,21,13,20,27,36,20,15,10,27,12,50,21,33,25,23,18,27,25,27,20,33,28,31,18,37,18,29,23,27,21,15,18,19,17,23,17,25,24,17,13,14,13,rRNA
URS00000004D0/uncultured,1,6,3,1,3,7,4,2,3,11,12,1,3,1,2,0,2,8,1,1,5,8,7,2,9,10,14,2,5,3,4,1,8,6,9,5,10,8,9,3,6,5,10,6,3,1,3,2,1,3,5,0,2,4,5,3,0,0,5,1,0,1,2,0,rRNA
URS00000004D2/uncultured,3,14,11,6,9,13,9,8,16,16,18,7,6,7,16,5,11,7,10,6,10,7,9,6,12,23,17,12,5,6,18,7,21,9,23,11,9,12,27,19,17,15,33,18,11,11,20,7,10,8,8,5,4,9,11,5,14,8,27,10,4,2,7,5,rRNA
URS00000004D6/uncultured,10,5,8,7,4,2,4,6,9,7,12,7,4,2,8,2,3,1,6,3,2,0,0,4,8,4,4,0,4,3,7,1,8,4,7,7,5,5,5,5,8,1,6,4,16,0,6,5,4,6,10,7,3,3,1,3,5,8,5,3,3,1,2,4,rRNA
URS00000004D7/uncultured,7,10,4,3,4,9,9,8,9,5,13,11,5,13,5,6,4,9,9,6,8,1,11,7,5,13,13,8,5,6,10,8,13,5,12,10,11,11,6,11,11,9,12,6,5,7,16,5,12,5,8,4,8,12,5,4,10,7,10,8,4,3,6,3,rRNA
URS00000004D9/uncultured,1,1,2,0,3,3,2,3,3,6,7,0,1,1,1,0,2,0,2,1,2,3,2,1,2,5,3,5,1,1,4,6,5,4,6,3,2,2,7,5,4,3,6,2,4,2,1,2,2,3,2,1,0,3,2,0,2,0,5,4,2,3,4,2,rRNA
URS00000004DD/uncultured,14,28,22,18,22,19,30,18,30,32,36,23,22,20,21,13,19,19,21,18,28,11,25,10,19,25,29,19,14,13,25,15,37,19,36,29,25,18,26,22,42,19,41,24,26,18,31,15,26,22,28,11,11,16,20,11,24,21,23,20,7,12,14,12,rRNA
URS00000004DF/uncultured,19,27,20,13,14,18,28,23,23,29,29,27,15,24,24,9,16,17,24,10,27,13,19,11,22,25,40,17,16,16,27,19,37,19,41,25,19,25,29,26,38,26,48,23,23,13,35,14,25,19,15,16,18,20,19,10,23,22,29,19,8,6,13,6,rRNA
URS00000004E3/uncultured,7,12,8,5,6,11,8,7,12,11,14,7,6,5,7,1,6,5,9,6,5,9,5,5,8,15,13,5,7,2,9,2,17,9,17,5,7,8,16,4,18,6,20,9,9,4,9,2,6,5,8,1,3,3,6,9,5,5,9,3,4,2,2,3,rRNA
URS00000004E6/uncultured,18,27,18,21,21,14,29,29,32,26,36,28,22,26,29,19,16,21,28,17,21,13,17,12,21,28,27,17,23,5,28,16,43,20,33,29,19,19,18,24,32,25,36,20,36,15,34,23,32,26,29,19,19,16,24,13,22,15,28,33,20,13,12,13,rRNA
URS00000004E8/uncultured,19,21,25,14,18,15,23,22,27,29,34,29,16,22,29,17,18,20,21,14,16,7,15,14,22,23,25,16,14,12,27,14,35,22,37,29,18,21,27,21,43,22,38,23,25,9,38,14,33,17,16,20,19,14,19,9,25,17,32,17,13,7,16,8,rRNA
URS00000004E9/uncultured,9,6,6,3,8,6,7,5,7,11,16,5,7,6,8,7,2,9,11,4,4,3,4,2,10,11,10,6,7,1,6,7,15,5,15,4,7,7,11,13,13,11,10,10,10,6,8,6,8,4,10,6,4,5,9,2,4,4,13,9,2,2,7,4,rRNA
URS00000004EA/uncultured,26,28,25,15,23,16,26,20,26,31,30,29,12,23,31,17,22,25,19,12,20,11,17,17,29,27,30,18,16,16,29,11,48,17,38,22,20,23,40,20,39,26,42,23,28,11,35,13,19,19,29,13,15,20,15,16,20,18,31,26,14,9,7,11,rRNA
URS00000004F0/uncultured,4,9,5,3,4,8,6,6,11,10,17,5,8,6,5,4,7,6,9,5,3,4,9,4,10,13,12,3,6,5,10,2,12,8,12,5,6,11,17,13,15,7,19,13,12,2,9,4,3,5,12,5,4,6,5,3,4,7,12,7,1,1,6,4,rRNA
URS00000004F1/uncultured,24,27,21,16,24,21,33,21,27,25,39,30,25,26,29,15,23,18,25,16,22,12,23,17,23,27,29,16,15,7,33,18,47,20,41,25,23,22,26,17,40,21,43,31,24,21,30,26,27,25,22,26,19,20,19,7,27,24,28,25,13,10,15,8,rRNA
URS00000004F2/uncultured,1,5,0,0,0,2,1,4,1,2,3,2,1,0,3,1,1,0,1,1,1,2,2,0,2,1,6,3,0,1,3,3,2,3,3,0,2,2,2,3,3,2,2,1,2,1,3,0,3,3,1,0,1,3,1,1,1,0,2,2,3,1,0,0,rRNA
URS00000004F3/uncultured,1,8,3,0,2,6,5,2,3,7,12,1,3,1,1,0,3,8,2,2,7,11,8,1,7,11,10,4,4,2,4,1,6,1,6,6,7,10,12,3,9,6,15,5,2,2,7,1,0,4,4,1,1,1,5,3,1,5,3,0,0,0,2,0,rRNA
URS00000004F5/uncultured,4,9,9,3,3,7,11,7,7,9,9,7,10,5,6,3,5,7,12,3,7,6,5,5,8,7,9,7,6,3,4,2,14,9,9,7,7,7,10,6,13,3,17,9,6,5,8,3,3,6,6,2,6,2,7,0,8,8,9,3,0,4,2,1,rRNA
URS00000004F7/Prochlorococcus,2,1,1,2,2,3,2,3,1,2,1,1,1,2,1,1,1,2,1,5,2,3,2,2,2,2,1,1,0,2,3,0,3,2,1,1,1,1,3,0,4,0,5,2,2,3,3,1,2,0,2,1,2,1,1,0,2,3,3,2,0,1,3,2,rRNA
URS00000004FC/uncultured,8,11,6,4,7,13,15,5,7,8,17,16,5,16,4,6,7,10,12,8,10,10,15,4,12,16,15,9,4,8,14,10,16,7,15,13,12,13,12,13,18,14,17,6,6,4,21,6,8,10,7,5,14,10,7,4,9,10,10,11,3,4,8,1,rRNA
URS00000004FD/uncultured,4,10,3,1,3,1,7,2,3,1,7,9,4,11,3,0,3,6,3,2,4,4,6,3,6,4,6,4,4,3,5,3,6,4,8,7,2,5,6,5,9,5,6,3,5,3,5,0,4,2,2,4,6,4,6,3,3,4,4,5,3,0,1,0,rRNA
URS00000004FE/uncultured,15,24,20,21,32,19,22,17,30,30,28,23,18,26,28,15,25,21,23,7,22,10,24,20,28,27,27,21,14,12,24,7,37,21,39,26,24,15,29,18,35,22,34,24,25,21,32,17,18,19,32,20,13,19,17,11,21,15,28,27,10,11,13,16,rRNA
URS00000004FF/uncultured,9,5,10,2,7,5,4,7,5,9,17,5,4,5,6,3,6,5,5,3,7,3,7,3,7,8,5,6,5,1,4,5,12,2,12,7,4,10,8,5,11,7,7,5,9,4,11,4,8,5,7,6,3,3,3,1,5,6,8,6,2,2,3,6,rRNA
URS0000000502/uncultured,10,25,18,10,12,14,14,15,15,18,25,14,14,13,17,16,22,8,18,9,9,10,18,9,13,16,19,16,8,5,14,7,27,13,23,17,11,12,20,17,29,14,27,18,21,10,21,11,23,10,11,7,11,5,13,11,21,18,20,8,6,9,13,5,rRNA
URS0000000503/uncultured,6,9,7,7,8,6,10,7,11,13,15,5,8,3,6,3,8,7,7,4,6,4,8,3,9,14,7,8,5,4,11,3,13,8,15,5,4,7,14,7,14,6,13,9,13,6,7,3,5,7,8,7,6,5,6,7,4,5,8,4,3,4,3,3,rRNA
URS0000000504/uncultured,5,12,7,3,11,8,7,4,9,19,11,4,7,5,10,4,7,6,8,2,6,4,6,9,10,12,10,5,4,1,10,7,12,9,16,9,10,7,8,12,14,4,19,8,9,4,9,6,7,5,11,6,2,5,4,6,7,7,11,5,5,0,9,2,rRNA
URS0000000505/uncultured,3,5,6,2,4,5,9,5,5,6,7,5,5,4,4,2,7,4,2,1,3,3,5,2,4,7,6,3,5,4,4,3,11,3,5,6,3,2,7,6,7,3,13,6,6,2,8,2,5,5,5,5,2,5,3,0,4,6,5,3,1,0,2,1,rRNA
URS0000000506/uncultured,4,9,9,7,9,7,7,8,9,9,11,9,9,7,10,6,5,8,7,4,7,5,4,5,4,11,10,7,8,5,7,6,16,5,9,9,4,6,15,8,19,7,15,10,12,4,13,6,9,6,14,8,2,4,7,6,5,6,15,10,7,4,5,8,rRNA
URS0000000509/uncultured,1,3,3,2,3,2,2,5,0,8,10,2,2,1,7,1,2,6,3,2,5,5,1,1,6,6,7,0,3,2,10,1,8,3,4,6,3,9,7,5,8,1,8,9,4,4,6,3,0,2,5,3,2,1,4,5,4,5,9,4,2,2,0,4,rRNA
URS000000050A/uncultured,9,8,6,5,5,8,8,6,13,9,21,6,9,8,5,0,7,7,8,5,7,10,7,3,9,21,20,1,2,2,9,6,14,8,9,13,6,17,22,6,18,9,13,11,9,1,13,3,6,6,12,3,1,5,10,4,7,5,6,3,3,1,4,2,rRNA
URS000000050B/uncultured,12,12,9,5,7,9,19,11,12,16,21,17,9,13,11,7,17,4,11,7,8,7,9,11,8,10,18,13,11,8,12,7,22,11,22,14,8,11,18,10,23,14,19,13,14,5,18,9,14,12,14,4,9,10,7,7,13,11,11,12,3,8,12,9,rRNA
URS000000050C/uncultured,13,27,23,17,21,19,23,30,26,27,34,26,23,25,20,15,15,18,20,22,25,14,22,10,23,23,28,16,14,11,28,17,40,21,25,27,25,16,19,17,35,23,33,22,26,16,34,19,31,20,30,18,18,17,21,11,17,18,26,21,15,12,13,7,rRNA
URS000000050E/uncultured,5,9,4,5,7,5,13,6,8,11,11,8,4,5,10,4,5,5,9,5,6,3,4,5,9,9,9,6,6,2,9,4,13,9,12,8,8,4,9,7,17,6,15,7,7,7,8,3,5,4,11,5,5,5,5,4,5,9,7,4,4,3,6,3,rRNA
URS0000000512/uncultured,8,12,3,4,4,9,7,8,7,7,11,12,5,5,6,5,5,6,9,5,8,1,9,5,6,13,12,5,3,6,9,7,11,6,15,5,10,6,7,6,9,9,9,9,7,6,13,8,7,7,7,3,12,6,7,5,5,7,8,7,5,4,4,2,rRNA
URS0000000513/uncultured,8,8,9,7,9,9,10,8,13,8,12,7,11,3,11,8,9,7,7,4,7,3,8,4,8,17,8,6,5,2,12,1,17,9,11,8,7,7,11,10,16,3,12,11,11,5,7,6,4,12,14,6,4,4,3,5,6,8,12,4,4,4,5,4,rRNA
URS0000000514/uncultured,23,27,16,17,17,26,31,15,20,26,30,23,13,23,20,14,21,16,22,9,21,14,23,21,25,26,29,20,14,17,24,17,48,20,36,18,14,20,30,22,36,27,34,25,18,22,33,14,22,16,18,11,16,16,21,14,22,17,37,19,9,8,13,12,rRNA
URS0000000516/uncultured,9,9,7,8,10,9,8,7,14,10,11,6,8,4,12,6,9,9,5,3,8,5,7,4,7,18,13,8,5,2,13,3,15,10,13,7,8,9,13,11,16,4,16,11,8,4,9,5,5,9,13,6,5,6,5,5,5,7,10,3,4,5,5,3,rRNA
URS000000051B/uncultured,3,10,4,2,8,8,12,10,8,11,15,6,4,2,7,0,9,12,6,2,6,6,7,5,7,18,17,4,4,8,12,3,13,6,13,6,6,13,19,9,23,12,18,7,7,3,11,3,3,7,9,4,3,5,7,4,4,4,11,3,1,3,0,4,rRNA
URS000000051D/uncultured,2,8,7,4,6,9,9,7,10,9,19,9,9,5,9,1,10,9,7,3,7,6,5,6,8,13,14,5,10,5,8,5,9,7,14,13,9,10,13,8,13,10,11,10,10,8,7,8,8,3,14,5,6,8,8,5,3,11,10,5,3,1,5,6,rRNA
URS000000051E/uncultured,14,21,21,18,18,20,24,21,30,26,37,25,20,16,26,12,23,18,15,13,22,12,20,21,18,29,32,16,14,16,24,16,34,24,31,26,22,24,25,17,36,23,34,24,17,18,32,25,32,18,26,14,15,18,22,9,22,16,25,19,11,12,18,11,rRNA
URS000000051F/uncultured,13,17,16,11,12,5,12,15,12,18,17,12,13,8,19,10,9,8,15,6,6,4,6,9,14,17,11,10,9,3,12,6,27,8,23,12,7,7,14,15,20,10,19,14,16,8,18,10,11,13,11,10,13,6,8,6,21,9,14,10,7,5,12,7,rRNA
URS0000000524/uncultured,6,9,3,1,4,2,6,5,3,5,9,1,5,2,4,2,4,4,2,2,6,1,3,2,5,8,4,3,5,2,4,1,7,4,4,6,4,5,3,4,7,2,9,7,5,2,8,3,3,2,7,3,0,4,5,3,2,5,6,5,2,0,3,0,rRNA
URS000000052A/uncultured,0,10,2,6,4,3,5,5,5,9,8,4,4,5,6,3,4,1,8,1,2,3,8,4,9,3,7,6,5,1,6,2,9,3,11,4,4,4,6,5,7,3,14,9,9,7,9,4,7,2,7,4,1,8,4,4,8,4,6,6,2,4,1,1,rRNA
URS000000052B/uncultured,15,30,26,16,21,23,24,22,28,29,32,25,19,18,20,18,17,14,21,22,25,14,21,13,21,26,28,17,19,10,22,15,34,22,26,30,19,11,27,19,32,25,43,22,35,13,35,25,30,19,27,17,14,20,25,8,21,16,26,26,16,16,14,9,rRNA
URS0000000530/uncultured,8,19,12,11,12,12,13,12,15,17,19,9,12,11,16,9,10,10,11,9,10,9,10,5,16,15,11,11,11,7,9,6,21,10,20,18,10,3,13,9,16,9,25,18,22,9,15,13,14,12,13,8,9,8,16,10,10,6,19,15,10,4,9,7,rRNA
URS0000000532/uncultured,4,19,11,4,15,9,10,15,12,18,24,11,9,7,13,7,11,9,10,9,8,14,11,7,14,13,21,14,11,3,16,7,26,12,32,6,8,16,17,13,21,15,27,19,17,6,18,5,12,8,11,4,5,10,12,6,10,9,21,10,6,7,5,6,rRNA
URS000000053A/uncultured,9,9,9,9,6,3,7,8,16,10,12,10,5,5,12,3,9,3,4,4,4,3,2,4,8,9,3,2,7,2,6,8,16,9,14,8,7,4,7,6,14,0,12,7,9,4,10,5,6,6,10,8,3,5,6,3,6,5,11,7,8,2,7,7,rRNA
URS000000053E/uncultured,1,7,9,4,6,5,5,3,6,8,9,5,7,7,4,3,6,4,6,1,5,4,5,6,7,5,15,4,4,1,4,4,12,2,11,7,4,6,10,6,8,13,16,11,5,7,13,2,7,3,6,3,1,2,9,5,7,4,9,6,2,4,2,2,rRNA
URS0000000543/uncultured,11,16,15,8,13,11,16,12,19,21,18,11,10,13,19,9,14,7,16,4,14,9,15,8,15,21,23,11,10,5,14,9,24,13,20,16,9,13,19,21,26,15,28,20,16,13,23,10,13,13,17,14,5,10,17,3,15,11,22,11,7,4,4,7,rRNA
URS0000000545/uncultured,12,14,11,8,12,8,14,14,12,12,15,14,7,9,17,9,11,9,8,4,10,5,8,3,14,18,11,6,12,4,16,5,26,9,19,13,8,9,13,11,16,9,16,16,12,8,13,8,11,10,13,11,8,6,10,4,14,9,14,10,4,4,8,12,rRNA
URS0000000548/uncultured,0,4,4,2,6,5,6,3,3,4,10,3,1,3,3,1,5,7,5,2,6,3,5,3,2,10,11,1,4,1,8,2,7,3,5,4,4,9,12,5,8,9,17,7,5,2,8,2,1,4,3,2,2,2,2,2,4,7,5,5,0,1,3,0,rRNA
URS000000054C/uncultured,11,6,4,5,6,10,11,10,9,8,13,11,4,17,9,5,12,8,10,5,7,7,14,6,6,11,11,8,5,7,14,9,14,8,14,9,8,10,14,9,19,11,16,10,7,4,18,6,11,8,10,6,10,8,5,5,8,11,12,12,3,6,1,3,rRNA
URS000000054E/uncultured,6,8,6,1,4,11,11,7,8,8,21,6,6,6,4,1,6,6,8,5,6,9,12,3,9,23,23,4,2,3,11,5,15,11,9,10,7,18,25,7,22,10,21,9,6,3,10,3,5,5,11,1,2,6,7,2,7,9,5,1,2,1,2,3,rRNA
URS000000054F/uncultured,7,7,5,3,4,9,7,11,8,7,10,10,5,10,3,4,6,9,7,4,9,1,11,6,4,12,15,8,4,7,10,7,12,5,11,9,9,9,7,10,10,12,10,5,7,7,16,4,7,6,9,3,8,10,7,4,6,7,9,9,3,4,5,2,rRNA
URS0000000551/uncultured,13,20,15,13,23,18,28,14,19,35,34,18,15,19,19,6,21,19,17,11,21,11,19,17,21,31,34,17,11,13,36,13,31,23,38,22,13,22,39,25,42,28,42,31,19,13,42,19,16,15,19,15,18,17,16,12,18,16,39,24,7,13,12,11,rRNA
URS0000000552/uncultured,3,5,1,1,5,3,2,3,4,3,2,6,2,6,4,2,4,1,2,2,2,5,6,0,3,4,3,4,1,1,5,4,5,1,8,5,2,2,4,4,5,2,5,3,4,2,7,3,3,4,5,3,5,2,1,1,4,5,5,3,2,1,1,1,rRNA
URS0000000553/uncultured,27,21,22,14,14,22,28,18,26,32,31,29,25,18,23,21,24,11,24,14,17,9,14,13,20,25,21,15,23,9,24,15,40,21,37,26,23,16,24,23,38,15,37,24,24,14,35,17,23,18,27,21,16,17,15,9,21,20,37,24,9,11,16,13,rRNA
URS0000000556/uncultured,12,7,8,4,5,6,2,8,6,7,12,5,6,6,5,2,4,8,6,5,5,2,4,2,9,9,1,6,5,1,3,3,13,3,11,5,6,4,9,6,11,4,4,3,7,2,6,3,4,5,6,1,3,4,6,1,1,4,9,5,5,1,4,3,rRNA
URS000000055C/uncultured,6,9,9,10,8,7,10,15,14,15,15,7,13,9,18,3,11,6,4,8,2,5,4,6,11,14,7,12,8,2,10,5,16,9,19,13,13,5,14,2,15,2,14,10,10,7,9,8,16,12,12,8,6,4,8,6,11,4,11,5,8,4,4,8,rRNA
URS0000000561/uncultured,4,4,4,4,4,3,8,4,3,5,6,7,6,4,2,4,7,3,7,3,2,2,4,2,4,8,4,0,2,2,7,4,7,4,5,4,4,5,10,3,8,5,11,5,5,1,4,5,5,4,5,2,3,4,0,3,5,5,5,4,2,2,4,1,rRNA
URS0000000563/uncultured,1,5,3,3,6,3,5,4,4,8,10,3,1,1,3,3,6,4,3,0,6,4,7,6,4,8,8,3,4,2,5,3,7,4,5,5,1,6,11,8,12,7,16,7,5,5,11,1,2,5,8,1,2,2,4,0,2,6,9,3,0,4,2,0,rRNA
URS0000000564/uncultured,13,26,16,14,19,27,31,15,22,35,44,20,13,26,21,14,22,21,21,18,31,18,27,19,23,39,38,24,12,18,33,12,49,18,37,21,20,29,33,26,37,30,47,35,28,17,44,17,21,20,25,15,15,26,25,15,24,20,34,15,7,7,11,5,rRNA
URS0000000570/uncultured,2,6,3,1,2,3,4,8,4,2,8,2,3,2,3,2,2,3,1,2,3,1,4,4,4,3,7,4,2,5,5,4,9,1,1,6,2,6,2,3,6,2,4,6,6,5,9,4,4,5,4,4,3,6,5,0,3,4,8,4,0,2,2,3,rRNA
URS0000000576/uncultured,8,9,10,5,9,9,8,6,10,8,18,9,10,7,7,6,6,7,8,6,8,8,5,4,10,11,13,4,6,1,10,3,13,11,13,13,9,4,13,7,17,8,13,7,10,8,10,5,9,6,10,4,5,6,5,6,4,7,10,11,3,2,8,7,rRNA
